date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:42:22	538/538	---M-Z	200	added ('OK')	application/javascript	etag:W/%22644658a7-21a%22	https://andrew-bork.github.io/_app/immutable/entry/layout.svelte.f947655f.js	andrew-bork.github.io/_app/immutable/entry/layout.svelte.f947655f.js	(from https://andrew-bork.github.io/_app/immutable/entry/layout.svelte.f947655f.js)
19:42:22	10291/10291	---M-Z	200	added ('OK')	application/javascript	etag:W/%22644658a7-2833%22	https://andrew-bork.github.io/_app/immutable/entry/_page.svelte.82103a65.js	andrew-bork.github.io/_app/immutable/entry/_page.svelte.82103a65.js	(from https://andrew-bork.github.io/_app/immutable/entry/_page.svelte.82103a65.js)
19:42:23	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	text/css	etag:W/%22624c0bf4-b81%22	https://andrew-bork.github.io/orbit/style.css	andrew-bork.github.io/orbit/style.css	(from https://andrew-bork.github.io/orbit/)
19:42:24	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	application/javascript	etag:W/%22624c0bf4-26f0e%22	https://andrew-bork.github.io/orbit/script.js	andrew-bork.github.io/orbit/script.js	(from https://andrew-bork.github.io/orbit/)
19:42:25	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	text/css	etag:W/%22608c6444-902%22	https://andrew-bork.github.io/terrain/style.css	andrew-bork.github.io/terrain/style.css	(from https://andrew-bork.github.io/terrain/)
19:42:26	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	application/javascript	etag:W/%22608c6444-249e%22	https://andrew-bork.github.io/terrain/script.js	andrew-bork.github.io/terrain/script.js	(from https://andrew-bork.github.io/terrain/)
19:42:27	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2265020b40-24a3%22	https://andrew-bork.github.io/erosion/favicon.png	andrew-bork.github.io/erosion/favicon.png	(from https://andrew-bork.github.io/erosion/)
19:42:28	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	text/css	etag:W/%2264febbff-37a%22	https://andrew-bork.github.io/erosion/global.css	andrew-bork.github.io/erosion/global.css	(from https://andrew-bork.github.io/erosion/)
19:42:29	255/255	URF---	200	untouched ('OK%20(cached)')	text/css		https://andrew-bork.github.io/erosion/build/bundle.css	andrew-bork.github.io/erosion/build/bundle.css	(from https://andrew-bork.github.io/erosion/)
19:42:30	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	application/javascript	etag:W/%2264febc09-780e9%22	https://andrew-bork.github.io/erosion/build/bundle.js	andrew-bork.github.io/erosion/build/bundle.js	(from https://andrew-bork.github.io/erosion/)
19:42:31	2945/2945	---M-Z	200	added ('OK')	text/css	etag:W/%22624c0bf4-b81%22	https://andrew-bork.github.io/orbit/style.css	andrew-bork.github.io/orbit/style.css	(from https://andrew-bork.github.io/orbit/style.css)
19:42:31	2306/2306	---M-Z	200	added ('OK')	text/css	etag:W/%22608c6444-902%22	https://andrew-bork.github.io/terrain/style.css	andrew-bork.github.io/terrain/style.css	(from https://andrew-bork.github.io/terrain/style.css)
19:42:31	159502/159502	---M-Z	200	added ('OK')	application/javascript	etag:W/%22624c0bf4-26f0e%22	https://andrew-bork.github.io/orbit/script.js	andrew-bork.github.io/orbit/script.js	(from https://andrew-bork.github.io/orbit/script.js)
19:42:32	9374/9374	---M-Z	200	added ('OK')	application/javascript	etag:W/%22608c6444-249e%22	https://andrew-bork.github.io/terrain/script.js	andrew-bork.github.io/terrain/script.js	(from https://andrew-bork.github.io/terrain/script.js)
19:42:32	890/890	---M-Z	200	added ('OK')	text/css	etag:W/%2264febbff-37a%22	https://andrew-bork.github.io/erosion/global.css	andrew-bork.github.io/erosion/global.css	(from https://andrew-bork.github.io/erosion/global.css)
19:42:33	491753/491753	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264febc09-780e9%22	https://andrew-bork.github.io/erosion/build/bundle.js	andrew-bork.github.io/erosion/build/bundle.js	(from https://andrew-bork.github.io/erosion/build/bundle.js)
